scientificName,decimalLatitude,decimalLongitude,year,basisOfRecord
Heracleum mantegazzianum Sommier & Levier,58.66623,16.29018,1974,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.19635,14.68402,1975,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.24581,16.09994,1974,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.70981,15.77077,1974,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.23561,14.70334,1975,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.92045,16.04616,1975,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.59451,16.20697,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.39159,15.77934,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.21629,12.55174,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.20604,18.15711,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.25608,12.5545,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.51059,16.39237,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.88684,15.3817,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,55.45818,13.93961,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.55691,15.73694,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.32564,15.82125,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.51332,16.38794,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.256,18.06527,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.72439,11.93681,1988,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.74056,15.94495,2011,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.67192,16.28907,1985,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.56094,16.19452,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,60.84388,14.19378,1988,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,60.55838,15.13916,1979,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.74642,15.87085,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.9376,16.38264,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.6095,16.19645,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.35171,17.94249,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.03483,14.69898,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.71329,16.99463,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.24515,15.26731,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.2801,17.83174,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.27624,17.83929,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.22658,14.83446,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.21141,15.63897,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.1992,13.70941,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,60.5442,17.41707,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.04751,17.4188,2005,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.17459,15.59305,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.22325,14.82084,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.60891,15.88871,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.60196,15.89438,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.60471,15.89478,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.608,15.89201,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.60541,15.89462,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.60123,15.89456,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.60256,15.89456,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.6089,15.88768,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.60326,15.89486,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.60712,15.89345,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.59905,15.89555,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.59199,15.91121,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.36522,12.38048,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.62379,17.686,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.20948,14.65763,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,55.42433,13.50803,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.51301,16.38799,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.37742,17.98425,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,55.56621,13.94319,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.24169,12.31166,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.68642,17.39427,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.67532,16.25166,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.65859,16.47331,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.24958,15.63288,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,55.55436,13.85925,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.52766,13.07389,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.89604,13.18933,1987,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.87788,13.20407,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.13803,13.0636,1991,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.08363,12.80398,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.39195,13.20938,1989,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.42214,13.41481,1990,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.16218,12.91822,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.16261,12.74291,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.12119,12.83034,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.0985,12.84321,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.97876,12.65857,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.96712,12.44486,1982,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.98822,12.58041,1986,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.28714,12.86891,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.95951,12.6725,1990,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.89335,12.52611,1980,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.4967,13.28684,1985,PRESERVED_SPECIMEN
Heracleum mantegazzianum Sommier & Levier,56.86609,12.59373,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.33049,15.50648,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.55493,15.50457,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.80223,12.62108,1995,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.8082,13.26695,1989,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.19177,14.7417,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.5982,15.07422,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.05998,15.25121,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.13586,12.7253,1990,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.3297,15.3355,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.09897,12.65994,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.10379,12.62321,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.98152,12.39584,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.05235,12.69149,1990,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.03034,12.61802,1983,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.00323,12.76403,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.96732,12.91616,1989,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.33053,15.42101,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.97028,12.70172,1989,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.33058,15.67687,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.82031,12.72759,1984,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.93633,16.38626,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.29768,12.80994,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.4364,15.47581,2007,PRESERVED_SPECIMEN
Heracleum mantegazzianum Sommier & Levier,57.60462,12.21459,1991,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.26102,15.62512,2007,PRESERVED_SPECIMEN
Heracleum mantegazzianum Sommier & Levier,56.85043,12.69229,1986,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.97538,19.28068,2011,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.26682,14.76169,2008,PRESERVED_SPECIMEN
Heracleum mantegazzianum Sommier & Levier,56.78034,12.97761,1987,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.21413,12.79599,2011,HUMAN_OBSERVATION
